===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  
Set	155:	20000  	  20028 D	  2002a D	  20029 D	  
Set	156:	20018 D	  20017 D	  20028 D	  2002a D	  
Set	157:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	158:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	159:	2001a D	  20028 D	  20021 D	  2002a D	  
Set	160:	20018  	  20017 D	  20028 D	  2002a D	  
Set	161:	20028 D	  20029 D	  2002a D	  20021 D	  
Set	162:	20018  	  20028 D	  20029 D	  2002a D	  
Set	163:	20018  	  20017 D	  20028 D	  2002a D	  
Set	164:	20017 D	  20018  	  20028 D	  2002a D	  
Set	165:	20017  	  2000f  	  20018  	  20028 D	  
Set	166:	20018  	  20028 D	  2002a D	  20029 D	  
Set	167:	2000f  	  20017 D	  20028 D	  20021 D	  
Set	168:	2000f  	  2001a  	  20028 D	  2002a D	  
Set	169:	2000f  	  2001a  	  20029 D	  20028 D	  
Set	170:	2000f  	  2001a  	  20028 D	  20029 D	  
Set	171:	20013  	  2001a  	  20028 D	  2002a D	  
Set	172:	2001a  	  20018 D	  20013  	  20028 D	  
Set	173:	20013  	  20028 D	  2002a D	  20029 D	  
Set	174:	20013  	  20028 D	  2002a D	  20029 D	  
Set	175:	20013  	  20028 D	  2002a D	  20029 D	  
Set	176:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	177:	20013  	  2000f  	  20028 D	  20029 D	  
Set	178:	20013  	  20028 D	  20029 D	  2002a D	  
Set	179:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	180:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	181:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	182:	20028 D	  2002a D	  20021 D	  20029 D	  
Set	183:	2001b D	  20017 D	  20028 D	  2002a D	  
Set	184:	20017 D	  2001b D	  20028 D	  2002a D	  
Set	185:	20017 D	  20029 D	  20028 D	  2002a D	  
Set	186:	2001a D	  20028 D	  20029 D	  2002a D	  
Set	187:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	188:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	189:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	190:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	191:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	192:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	193:	20028 D	  20029 D	  2002a D	  20018 D	  
Set	194:	20028 D	  20018 D	  20029 D	  2002a D	  
Set	195:	2001a D	  20028 D	  2002a D	  2001b D	  
Set	196:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	197:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	198:	2001a D	  20028 D	  2001b D	  2002a D	  
Set	199:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	200:	3d819 D	  20028 D	  2001f D	  2002a D	  
Set	201:	3d819 D	  20028 D	  2002a D	  20029 D	  
Set	202:	2001f D	  20028 D	  2002a D	  20017 D	  
Set	203:	20028 D	  3d819 D	  20029 D	  2002a D	  
Set	204:	20028 D	  20029 D	  2002a D	  20017 D	  
Set	205:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	206:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	207:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	208:	20028 D	  3d819 D	  2002a D	  2001f D	  
Set	209:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	210:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	211:	20028 D	  2001b D	  2001f D	  2002a D	  
Set	212:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	213:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	214:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	215:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	216:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	217:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	218:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	219:	20028 D	  20018 D	  2002a D	  20029 D	  
Set	220:	20028 D	  20018 D	  2001a D	  2002a D	  
Set	221:	20028 D	  20018 D	  2001b D	  2002a D	  
Set	222:	20018 D	  20028 D	  2001a D	  2001f D	  
Set	223:	20018 D	  20028 D	  2001a D	  2002a D	  
Set	224:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	225:	20028 D	  2002a D	  20029 D	  20019 D	  
Set	226:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	227:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	228:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	229:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	230:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	231:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	232:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	233:	2002a D	  20029 D	  20019 D	  2001f D	  
Set	234:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	235:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	236:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	237:	2001f D	  2002a D	  20029 D	  20017 D	  
Set	238:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	239:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	240:	2001c  	  2002a D	  20029 D	  20017 D	  
Set	241:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	242:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	243:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	244:	20018 D	  20023  	  2002a D	  20029 D	  
Set	245:	20023  	  20018 D	  2002a D	  20029 D	  
Set	246:	20023  	  2001f D	  2002a D	  2001c D	  
Set	247:	20023  	  2001a D	  2002a D	  20029 D	  
Set	248:	20023  	  2002a D	  20019 D	  20029 D	  
Set	249:	20023  	  2002a D	  20029 D	  20017 D	  
Set	250:	20023  	  20018 D	  2002a D	  20029 D	  
Set	251:	20023  	  2002a D	  20029 D	  20017 D	  
Set	252:	20018 D	  20023  	  2001a D	  2002a D	  
Set	253:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	254:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	255:	2002a D	  20029 D	  20017 D	  20021 D	  
===== L2 contents =====
Set	0:	40033  	  40043 D	  40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	1:	40033  	  40031 D	  4003f  	  40043 D	  40056  	  40034 D	  40055  	  4003d D	  
Set	2:	40033  	  40043 D	  40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	3:	40036  	  40044 D	  40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	4:	4001f  	  40043 D	  40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	5:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	6:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	7:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	8:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	9:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	10:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40051 D	  
Set	11:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40033 D	  
Set	12:	4001f  	  40043 D	  40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	13:	40056  	  40034 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  40031  	  
Set	14:	40056  	  40044 D	  40055  	  40043 D	  4003a  	  40034 D	  40054  	  4003e D	  
Set	15:	4003f  	  40043 D	  40056  	  40034 D	  40055  	  40033 D	  40054  	  4003e D	  
Set	16:	4003a  	  40044 D	  40056  	  40034 D	  40055  	  40033 D	  40054  	  4003e D	  
Set	17:	40038  	  40030 D	  4003a  	  40044 D	  40056  	  40034 D	  40055  	  40033 D	  
Set	18:	40048  	  40030 D	  40029  	  40043 D	  40056  	  40044 D	  40038  	  40034 D	  
Set	19:	40038  	  40044 D	  40056  	  40034 D	  40055  	  40033 D	  40054  	  4003e D	  
Set	20:	40029  	  40053 D	  4001f  	  40031 D	  4002d  	  40043 D	  40056  	  40034 D	  
Set	21:	40001  	  40043 D	  40055  	  40033 D	  40054  	  40034 D	  40038  	  4003e D	  
Set	22:	40001  	  40053 D	  4001f  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  
Set	23:	40001  	  40055 D	  40029  	  40053 D	  40051  	  40031 D	  4001f  	  40043 D	  
Set	24:	40001  	  40051 D	  40029  	  40055 D	  4001f  	  40053 D	  40031 D	  40043 D	  
Set	25:	40001  	  40055 D	  4001f  	  40031 D	  40051  	  40043 D	  40033 D	  40054  	  
Set	26:	40001  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  4003e D	  
Set	27:	40001  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  4003e D	  
Set	28:	40051  	  40053 D	  40055  	  40043 D	  40054  	  4003e D	  4002f D	  40033 D	  
Set	29:	4003a  	  40034 D	  40051  	  40033 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	30:	40038  	  40034 D	  40051  	  40033 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	31:	40035  	  40053 D	  4003a  	  40034 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	32:	40031  	  40053 D	  4002f  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	33:	40051  	  40033 D	  40055  	  4003d D	  40054  	  4003e D	  40053  	  4004f D	  
Set	34:	40031  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  40054  	  4003e D	  
Set	35:	40031  	  40053 D	  4002f  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	36:	40051  	  40039 D	  40031  	  40053 D	  40055  	  40043 D	  40033 D	  40054  	  
Set	37:	4002f  	  40055 D	  40036  	  40034 D	  4001f  	  40053 D	  40031  	  40043 D	  
Set	38:	40036  	  40034 D	  40031  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	39:	40036  	  40034 D	  40051  	  40055 D	  4001f  	  40053 D	  40033 D	  40054  	  
Set	40:	40036  	  40034 D	  40035  	  40053 D	  4001f  	  40043 D	  40051  	  40033 D	  
Set	41:	4001f  	  40055 D	  40036  	  40034 D	  40035  	  40043 D	  40051  	  40033 D	  
Set	42:	40035  	  40055 D	  4001f  	  40043 D	  40036  	  40034 D	  40051  	  40033 D	  
Set	43:	40035  	  40053 D	  40027  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	44:	40031  	  40055 D	  40035  	  40053 D	  40027  	  40043 D	  40051  	  40033 D	  
Set	45:	40027  	  40043 D	  40044  	  40034 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	46:	40027  	  40043 D	  40036  	  40050 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	47:	40027  	  40043 D	  40044  	  40036 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	48:	40035  	  40043 D	  40044  	  40034 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	49:	4001f  	  40055 D	  40027  	  40043 D	  4002a  	  40034 D	  40051  	  40033 D	  
Set	50:	40044  	  40034 D	  40027  	  40043 D	  40051  	  40033 D	  40055  	  4003d D	  
Set	51:	40051  	  40033 D	  40055  	  4003d D	  4003e  	  40050 D	  40054  	  4004e D	  
Set	52:	4003e  	  40051  	  40043 D	  40055  	  40033 D	  40054  	  40050 D	  40053  	  
Set	53:	40051  	  40043 D	  40055  	  40033 D	  40054  	  40050 D	  40053  	  4003d D	  
Set	54:	40044  	  40050 D	  40051  	  40031 D	  40055  	  40033 D	  40054  	  4004e D	  
Set	55:	40037  	  40053 D	  4002f  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  
Set	56:	4002f  	  40053 D	  40051  	  40031 D	  40055  	  40043 D	  40054  	  40037 D	  
Set	57:	4002f  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  40050 D	  
Set	58:	40035  	  40031 D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  4004e D	  
Set	59:	40051  	  40031 D	  40055  	  4002f D	  40054  	  40050 D	  40035 D	  40043 D	  
Set	60:	40051  	  40031 D	  40055  	  4002f D	  40035  	  40043 D	  40054  	  40032 D	  
Set	61:	40035  	  40031 D	  40036  	  40050 D	  40051  	  4002f D	  40055  	  40043 D	  
Set	62:	40051  	  4002f D	  40055  	  40043 D	  40036  	  40050 D	  40054  	  40053  	  
Set	63:	40051  	  4002f D	  40055  	  40043 D	  40054  	  40050 D	  40053  	  40033 D	  
Set	64:	4003e  	  40050 D	  40051  	  4002f D	  40055  	  40043 D	  40054  	  4002a D	  
Set	65:	40051  	  4002f D	  40055  	  40043 D	  40054  	  40034 D	  40053  	  40033 D	  
Set	66:	40051  	  4002f D	  40055  	  40043 D	  40054  	  4004e D	  40053  	  40033 D	  
Set	67:	40035  	  40053 D	  40051  	  4002f D	  40055  	  40043 D	  40037  	  40033 D	  
Set	68:	40051  	  4002f D	  40035  	  40043 D	  40055  	  40033 D	  40054  	  40053  	  
Set	69:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4004e D	  40053  	  4003d D	  
Set	70:	40051  	  40053 D	  40055  	  4002f D	  40037  	  40043 D	  40054  	  40050 D	  
Set	71:	40035  	  4002f D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  40053  	  
Set	72:	40051  	  40053 D	  4003f  	  4002f D	  7b033  	  40043 D	  40055  	  40033 D	  
Set	73:	7b033  	  4002f D	  40051  	  40043 D	  40055  	  40033 D	  40054  	  4004e D	  
Set	74:	4003f  	  40053 D	  40042  	  4003c D	  40051  	  40043 D	  40055  	  40033 D	  
Set	75:	40042  	  4003c D	  40051  	  4002f D	  40055  	  40043 D	  7b033  	  40033 D	  
Set	76:	40051  	  40043 D	  40055  	  40033 D	  40054  	  40034 D	  40053  	  4003d D	  
Set	77:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	78:	40051  	  4002f D	  40055  	  40043 D	  40054  	  4003c D	  4003f  	  40033 D	  
Set	79:	40051  	  4002f D	  40055  	  40043 D	  4003f  	  40033 D	  40054  	  4003c D	  
Set	80:	40051  	  40053 D	  40055  	  4002f D	  7b033  	  40043 D	  4003f  	  40033 D	  
Set	81:	40051  	  4002f D	  40055  	  40043 D	  4003f  	  40033 D	  40054  	  4003c D	  
Set	82:	40051  	  4002f D	  40055  	  40043 D	  40054  	  4003c D	  4003f  	  40033 D	  
Set	83:	40051  	  40053 D	  40037  	  4002f D	  4003f  	  40043 D	  40055  	  40033 D	  
Set	84:	40051  	  4003f D	  40055  	  4002f D	  40043 D	  40054  	  4003c D	  40035  	  
Set	85:	40051  	  4002f D	  40055  	  40043 D	  40054  	  4003c D	  40035  	  40033 D	  
Set	86:	40051  	  4002f D	  40035  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  
Set	87:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	88:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	89:	40051  	  4002f D	  4003f  	  40043 D	  40055  	  40033 D	  40054  	  40034 D	  
Set	90:	40051  	  40043 D	  40055  	  40033 D	  40054  	  40034 D	  40053  	  4003d D	  
Set	91:	40051  	  4002f D	  40031  	  40043 D	  40055  	  40033 D	  40036  	  40034 D	  
Set	92:	40051  	  40037 D	  40031  	  40053 D	  40035  	  4003f D	  40055  	  4002f D	  
Set	93:	40051  	  40053 D	  40031  	  4002f D	  4003e  	  40042 D	  40037  	  40043 D	  
Set	94:	40051  	  40055 D	  40031  	  40053 D	  4003f  	  4002f D	  40035  	  40043 D	  
Set	95:	40031  	  40053 D	  40051  	  4002f D	  40035  	  40043 D	  40055  	  40033 D	  
Set	96:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	97:	40051  	  40035 D	  40055  	  4002f D	  40033 D	  40043 D	  40054  	  4003c D	  
Set	98:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	99:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	100:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	101:	40051  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	102:	40055  	  40043 D	  40054  	  4003c D	  40053  	  40033 D	  4003f  	  4003d D	  
Set	103:	4003e  	  40034 D	  40055  	  40043 D	  40054  	  4003c D	  40053  	  40033 D	  
Set	104:	40055  	  40043 D	  40054  	  4003c D	  4003f  	  40033 D	  40053  	  4003d D	  
Set	105:	40055  	  4002f D	  40033 D	  40043 D	  40054  	  4003c D	  4003f  	  40053  	  
Set	106:	40055  	  40043 D	  40035  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	107:	40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  40030  	  40050 D	  
Set	108:	40055  	  40043 D	  4003f  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	109:	4003f  	  40043 D	  40055  	  40033 D	  40054  	  4003c D	  40053  	  4003d D	  
Set	110:	40055  	  40033 D	  40036  	  40034 D	  40054  	  4003c D	  40053  	  4003d D	  
