===== Simulator configuration =====
BLOCKSIZE:             16
L1_SIZE:               8192
L1_ASSOC:              4
L1_PREF_N:             1
L1_PREF_M:             3
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	80066 D	  800a3 D	  800ac D	  800ab D	  
Set	119:	8006a  	  8008f  	  800a2 D	  800ab D	  
Set	120:	80063 D	  8008f  	  8006b D	  800a2 D	  
Set	121:	8006a  	  800a2 D	  800ab D	  80039  	  
Set	122:	8006c D	  8006a D	  8006b D	  800a2 D	  
Set	123:	8006c D	  800a2 D	  8003d  	  800ab D	  
Set	124:	80069 D	  800a2 D	  8006c D	  8003d  	  
Set	125:	800a2 D	  80039  	  800ab D	  800aa D	  
Set	126:	80065 D	  80069 D	  800a2 D	  80039  	  
Set	127:	80065 D	  800a2 D	  800ab D	  800aa D	  
===== L1-SB contents =====
40001370 40001380 40001390 
===== L2 contents =====
Set	0:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	1:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	3:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	4:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	5:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	6:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	7:	2001b  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	8:	2001b  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	9:	2001b  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	10:	2001b  	  2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	11:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	12:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	13:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	14:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	15:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	16:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	17:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	18:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	19:	2002b  	  2002a  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	20:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	21:	2002b  	  2002a  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	22:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	23:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	24:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	25:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	26:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	27:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	28:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	29:	2002b  	  2002a D	  2001d  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	30:	2002b  	  2002a D	  2001d  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	31:	2002b  	  2002a D	  2001d D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	32:	2001d  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	33:	2001d  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	34:	2001c  	  2001d  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	35:	2001c  	  2001d  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	36:	20024  	  2001c  	  2002a D	  2001d  	  2002b  	  20018 D	  20022 D	  2001a D	  
Set	37:	20024  	  2001c D	  2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	38:	20024  	  2002b D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	39:	20024  	  2001c  	  2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	40:	2002b D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  
Set	41:	2002b  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  
Set	42:	2002b  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	43:	2002b  	  2002a D	  2001c  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	44:	2002b  	  2002a D	  2001c  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	45:	2002a D	  2001c  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	46:	2002a D	  2001c  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	47:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	48:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	49:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	50:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	51:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	52:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	53:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	54:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	55:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	56:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	57:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	58:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	59:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	60:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	61:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	62:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	63:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	64:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	65:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  
Set	66:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  
Set	67:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  20019  	  
Set	68:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  20027 D	  
Set	69:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20019 D	  20028  	  
Set	70:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	71:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	72:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	73:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	74:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  20027 D	  
Set	75:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	76:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	77:	2001b  	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	78:	2001b  	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	79:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	80:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	81:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	82:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	83:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	84:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	85:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	86:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f  	  20028 D	  20019  	  
Set	87:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f  	  20028 D	  20027 D	  
Set	88:	2002a D	  2001f  	  20018 D	  20022 D	  2001a D	  20028 D	  20027 D	  2001b  	  
Set	89:	2001f D	  2002a D	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  20027 D	  
Set	90:	2001f  	  2002a D	  2001b D	  20018 D	  20022 D	  2001a D	  20028 D	  20015  	  
Set	91:	2001f  	  20022  	  2002a D	  2001b  	  20018 D	  2001a D	  20028 D	  20015  	  
Set	92:	20022  	  2002a D	  2001f  	  2001b  	  20018 D	  2001a D	  20028 D	  20015  	  
Set	93:	2001b  	  20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20015  	  
Set	94:	20022  	  2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001f D	  
Set	95:	20022  	  2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001f  	  
Set	96:	2001f D	  20022  	  2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  
Set	97:	20022  	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001b  	  
Set	98:	20015  	  2001f D	  20022  	  2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  
Set	99:	20015  	  20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20019  	  
Set	100:	20022  	  20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20019  	  
Set	101:	20022  	  20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20019  	  
Set	102:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  
Set	103:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  
Set	104:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  20026  	  
Set	105:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6 D	  20026  	  
Set	106:	2001f  	  2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  20027 D	  20026  	  
Set	107:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20019 D	  20026  	  20021 D	  
Set	108:	20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20026  	  20027 D	  
Set	109:	20022 D	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20026  	  20027 D	  
Set	110:	20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  20026  	  
Set	111:	20022  	  2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20028 D	  20027 D	  
Set	112:	2002a D	  20018 D	  2001a D	  20023 D	  20028 D	  20026  	  20027 D	  20022  	  
Set	113:	2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  20023  	  6fd  	  
Set	114:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  20023  	  6fc  	  
Set	115:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  20019 D	  20023  	  
Set	116:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  20019  	  6fc  	  
Set	117:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  6fc  	  0  	  
Set	118:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  6fc  	  0  	  
Set	119:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  0  	  
Set	120:	2002a D	  20018 D	  2001a D	  20015 D	  20028 D	  20027 D	  210a6 D	  6fc  	  
Set	121:	2002a D	  20018 D	  2001a D	  20019 D	  20027 D	  20028 D	  20015  	  6fc  	  
Set	122:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20027 D	  20015  	  
Set	123:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20027 D	  20015  	  
Set	124:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20027 D	  20015  	  
Set	125:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20015  	  20001  	  
Set	126:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20015  	  20001  	  
Set	127:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  2001d D	  20027 D	  20015  	  
Set	128:	2002a D	  2001b  	  20018 D	  2001a D	  20028 D	  20015 D	  2001d  	  20027 D	  
Set	129:	2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  2001d  	  20027 D	  20015  	  
Set	130:	2001f D	  2002a D	  2001b D	  20018 D	  2001a D	  20028 D	  20027 D	  2001d  	  
Set	131:	2001f  	  2002a D	  2001b  	  20018 D	  2001a D	  20028 D	  20027 D	  20015  	  
Set	132:	2001f  	  2002a D	  2001b  	  20018 D	  2001a D	  20028 D	  20027 D	  210a6 D	  
Set	133:	2002a D	  2001b  	  2001f  	  20018 D	  2001a D	  20028 D	  20027 D	  2009c D	  
Set	134:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8 D	  20026  	  20001  	  
Set	135:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8  	  20001  	  210a6  	  
Set	136:	2002a D	  20018 D	  2001a D	  20028 D	  20021  	  20027 D	  20026  	  211d8  	  
Set	137:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  20026  	  211d8  	  
Set	138:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  20026  	  210a6 D	  
Set	139:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  20026  	  210a6  	  
Set	140:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001e  	  210a6  	  0  	  
Set	141:	2001e  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6  	  0  	  
Set	142:	2002a D	  2001e  	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  
Set	143:	2002a D	  2001e  	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  6fc  	  
Set	144:	2001e  	  2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  210a6  	  
Set	145:	2002a D	  20018 D	  2001a D	  20028 D	  2001e  	  20026  	  20027 D	  210a6  	  
Set	146:	2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  210a6  	  0  	  
Set	147:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2009c D	  210a6  	  0  	  
Set	148:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	149:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	150:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	151:	20021  	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	152:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	153:	20021 D	  2002a D	  2001f D	  20018 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	154:	2002a D	  2001f  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	155:	2002a D	  2001f  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	156:	2002a D	  2001f  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	157:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	158:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	159:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	160:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	161:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	162:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	163:	2002a  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	164:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	165:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	166:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211d8 D	  
Set	167:	2002a  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	168:	2002a  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	169:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  20019  	  
Set	170:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  20019  	  
Set	171:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	172:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	173:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  0  	  
Set	174:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	175:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
