===== Simulator configuration =====
BLOCKSIZE:             16
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             1
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	40033 D	  40056 D	  40055 D	  40054 D	  
Set	30:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	31:	4003f D	  40056 D	  40055 D	  40054 D	  
Set	32:	4003a D	  40056 D	  40055 D	  40054 D	  
Set	33:	4003a D	  40056 D	  40055 D	  40054 D	  
Set	34:	40038 D	  4003a D	  40056 D	  40055 D	  
Set	35:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	36:	40048  	  40038 D	  40056 D	  40054 D	  
Set	37:	40038 D	  40029  	  40056 D	  40054 D	  
Set	38:	40038 D	  40056 D	  40055 D	  40054 D	  
Set	39:	40038 D	  40056 D	  40055 D	  40054 D	  
Set	40:	40029  	  4002d D	  40056 D	  40055 D	  
Set	41:	4001f  	  40056 D	  40055 D	  40054 D	  
Set	42:	40055 D	  40054 D	  40053 D	  40031 D	  
Set	43:	40001  	  40038 D	  40055 D	  40054 D	  
Set	44:	40001  	  40055 D	  40054 D	  40053 D	  
Set	45:	40001  	  4001f  	  40051 D	  40055 D	  
Set	46:	40001  	  40029  	  4001f  	  40051 D	  
Set	47:	40001  	  4001f  	  40051 D	  40030 D	  
Set	48:	40001  	  4001f  	  40051 D	  40055 D	  
Set	49:	40001  	  40029  	  4002f D	  40051 D	  
Set	50:	40001  	  4001f  	  40051 D	  40055 D	  
Set	51:	40001  	  40053 D	  40054 D	  40051 D	  
Set	52:	40001  	  40054 D	  40053 D	  40051 D	  
Set	53:	40001  	  40054 D	  40053 D	  40051 D	  
Set	54:	40001  	  40051 D	  40055 D	  40054 D	  
Set	55:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	56:	40031 D	  40051 D	  40055 D	  40054 D	  
Set	57:	40031  	  4002f D	  40051 D	  40055 D	  
Set	58:	4003a D	  40051 D	  40055 D	  40054 D	  
Set	59:	4003a D	  40051 D	  40055 D	  40054 D	  
Set	60:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	61:	40038  	  40051 D	  40055 D	  40054 D	  
Set	62:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	63:	40035 D	  4003a D	  40051 D	  40043 D	  
Set	64:	40031  	  4002f D	  40051 D	  40055 D	  
Set	65:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	66:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	67:	40054 D	  40051 D	  40053 D	  40055 D	  
Set	68:	40031  	  40054 D	  40051 D	  40053 D	  
Set	69:	40031  	  40054 D	  40051 D	  40053 D	  
Set	70:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	71:	40031  	  4002f D	  40054 D	  40051 D	  
Set	72:	40031  	  40054 D	  40051 D	  40055 D	  
Set	73:	4002f D	  40051 D	  40055 D	  40039 D	  
Set	74:	4002f  	  4001f  	  40031  	  40051 D	  
Set	75:	40031  	  40036 D	  40051 D	  40055 D	  
Set	76:	40036 D	  40051 D	  40055 D	  40054 D	  
Set	77:	40031  	  40036 D	  40051 D	  40030 D	  
Set	78:	4001f  	  40036 D	  4002f  	  40051 D	  
Set	79:	40036 D	  4001f  	  40051 D	  40055 D	  
Set	80:	40036 D	  40051 D	  40055 D	  40054 D	  
Set	81:	4001f  	  40036 D	  40035  	  40051 D	  
Set	82:	4001f  	  40036 D	  40035  	  40051 D	  
Set	83:	40036 D	  40035  	  40053 D	  40054 D	  
Set	84:	4001f  	  40035  	  40036 D	  40054 D	  
Set	85:	40035  	  40054 D	  40051 D	  40053 D	  
Set	86:	40035  	  40051 D	  40055 D	  40054 D	  
Set	87:	40027  	  40035  	  40054 D	  40051 D	  
Set	88:	4003e  	  40031 D	  40027  	  40035  	  
Set	89:	40035  	  40051 D	  4003e D	  40055 D	  
Set	90:	40036 D	  40051 D	  40055 D	  40054 D	  
Set	91:	40027  	  40044 D	  40051 D	  40055 D	  
Set	92:	40027  	  40051 D	  40055 D	  40054 D	  
Set	93:	40027  	  40036 D	  40051 D	  40055 D	  
Set	94:	40044 D	  40051 D	  40055 D	  40054 D	  
Set	95:	40027  	  40044 D	  40051 D	  40055 D	  
Set	96:	40051 D	  40055 D	  4003e D	  40054 D	  
Set	97:	40035  	  40044 D	  40051 D	  40055 D	  
Set	98:	4002a D	  40027  	  4001f  	  40051 D	  
Set	99:	40027  	  40051 D	  40054 D	  40053 D	  
Set	100:	40044 D	  40051 D	  40054 D	  40053 D	  
Set	101:	40027  	  40051 D	  40054 D	  40053 D	  
Set	102:	40051 D	  40055 D	  4003e D	  40054 D	  
Set	103:	40051 D	  40055 D	  4003e D	  40054 D	  
Set	104:	4003e D	  40051 D	  40055 D	  40054 D	  
Set	105:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	106:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	107:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	108:	40044 D	  40051 D	  40055 D	  40043 D	  
Set	109:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	110:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	111:	40037 D	  4002f D	  40051 D	  40055 D	  
Set	112:	4002f D	  40037 D	  40051 D	  40055 D	  
Set	113:	4002f D	  40051 D	  40037 D	  40055 D	  
Set	114:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	115:	4002f D	  40053 D	  40051 D	  40054 D	  
Set	116:	40051 D	  40054 D	  40053 D	  40055 D	  
Set	117:	40035 D	  40051 D	  40054 D	  40053 D	  
Set	118:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	119:	40035 D	  40051 D	  40055 D	  40054 D	  
Set	120:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	121:	40035  	  40051 D	  40055 D	  40054 D	  
Set	122:	40036 D	  40035 D	  40051 D	  40055 D	  
Set	123:	40036 D	  40051 D	  40055 D	  40054 D	  
Set	124:	40051 D	  40036 D	  40055 D	  40054 D	  
Set	125:	40051 D	  40055 D	  40036 D	  40054 D	  
Set	126:	40051 D	  40055 D	  40031 D	  40054 D	  
Set	127:	40051 D	  40055 D	  40031 D	  40054 D	  
Set	128:	40051 D	  40055 D	  40031 D	  40054 D	  
Set	129:	4003e D	  40051 D	  40055 D	  40054 D	  
Set	130:	40036 D	  40051 D	  40055 D	  4003e D	  
Set	131:	40051 D	  40053 D	  40055 D	  40054 D	  
Set	132:	40051 D	  40053 D	  40055 D	  40054 D	  
Set	133:	40051 D	  40031 D	  40053 D	  40055 D	  
Set	134:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	135:	40035 D	  40051 D	  40055 D	  40054 D	  
Set	136:	40051 D	  40035 D	  40055 D	  40054 D	  
Set	137:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	138:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	139:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	140:	40035 D	  40051 D	  40055 D	  40054 D	  
Set	141:	40051 D	  4003c D	  40037 D	  40035 D	  
Set	142:	40035  	  40051 D	  40055 D	  40054 D	  
Set	143:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	144:	7b033 D	  40051 D	  40055 D	  40054 D	  
Set	145:	40051 D	  4003f D	  40055 D	  40054 D	  
Set	146:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	147:	7b033 D	  40051 D	  40055 D	  40054 D	  
Set	148:	4003f D	  40042 D	  40051 D	  40055 D	  
Set	149:	40042 D	  40051 D	  40055 D	  40054 D	  
Set	150:	40042 D	  40051 D	  40055 D	  40053 D	  
Set	151:	40051 D	  7b033 D	  40053 D	  40055 D	  
Set	152:	40051 D	  40053 D	  40055 D	  40054 D	  
Set	153:	40051 D	  4003e D	  40055 D	  40054 D	  
Set	154:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	155:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	156:	40051 D	  4003f D	  40055 D	  40054 D	  
Set	157:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	158:	40051 D	  40055 D	  4003f D	  40054 D	  
Set	159:	40051 D	  40055 D	  4003f D	  40054 D	  
Set	160:	40051 D	  7b033 D	  40055 D	  4003f D	  
Set	161:	40051 D	  40055 D	  4003f D	  40054 D	  
Set	162:	40051 D	  40055 D	  4003f D	  40054 D	  
Set	163:	40051 D	  40054 D	  40055 D	  4003f D	  
Set	164:	40051 D	  40054 D	  40055 D	  4003f D	  
Set	165:	40051 D	  4003f D	  40054 D	  40055 D	  
Set	166:	40051 D	  40037 D	  4003f D	  40055 D	  
Set	167:	40051 D	  40054 D	  40055 D	  40053 D	  
Set	168:	40051 D	  40054 D	  40055 D	  40053 D	  
Set	169:	40051 D	  40035 D	  40055 D	  40054 D	  
Set	170:	40051 D	  40035 D	  40055 D	  40054 D	  
Set	171:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	172:	40051 D	  40035 D	  40055 D	  40054 D	  
Set	173:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	174:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	175:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	176:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	177:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	178:	40051 D	  40055 D	  4002f D	  40054 D	  
Set	179:	40051 D	  4003f D	  40036 D	  40054 D	  
Set	180:	40051 D	  40054 D	  40055 D	  40053 D	  
Set	181:	40051 D	  40054 D	  40055 D	  40053 D	  
Set	182:	40051 D	  40055 D	  40036 D	  40054 D	  
Set	183:	40051 D	  40031 D	  40055 D	  40036 D	  
Set	184:	40051 D	  40031 D	  40035 D	  40055 D	  
Set	185:	40051 D	  40031 D	  40055 D	  40037 D	  
Set	186:	40051 D	  40031 D	  40037 D	  40055 D	  
Set	187:	40051 D	  40031 D	  4003e D	  40055 D	  
Set	188:	40051 D	  40031 D	  40035 D	  4003f D	  
Set	189:	40031 D	  40051 D	  4003e D	  40035 D	  
Set	190:	40031 D	  40051 D	  40055 D	  40054 D	  
Set	191:	40031 D	  40051 D	  40035 D	  40055 D	  
Set	192:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	193:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	194:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	195:	40051 D	  40055 D	  40053 D	  40033 D	  
Set	196:	40051 D	  40055 D	  40053 D	  40054 D	  
Set	197:	40051 D	  40055 D	  40053 D	  40054 D	  
Set	198:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	199:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	200:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	201:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	202:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	203:	40055 D	  40054 D	  40053 D	  40030 D	  
Set	204:	40055 D	  40054 D	  40053 D	  40030 D	  
Set	205:	40055 D	  4003f D	  40054 D	  40053 D	  
Set	206:	4003e D	  40055 D	  40054 D	  40053 D	  
Set	207:	40055 D	  40054 D	  4003f D	  40053 D	  
Set	208:	40055 D	  4003f D	  40054 D	  40053 D	  
Set	209:	40055 D	  40054 D	  4003f D	  40053 D	  
Set	210:	40055 D	  40033 D	  40054 D	  4003f D	  
Set	211:	40054 D	  40055 D	  40053 D	  40030 D	  
Set	212:	40054 D	  40055 D	  40053 D	  40030 D	  
Set	213:	40035 D	  40054 D	  40055 D	  40053 D	  
Set	214:	40055 D	  40054 D	  40053 D	  40030 D	  
Set	215:	40054 D	  40055 D	  40053 D	  40030 D	  
Set	216:	40054 D	  40055 D	  4003f D	  40053 D	  
Set	217:	40055 D	  4003f D	  40054 D	  40053 D	  
Set	218:	40055 D	  40054 D	  40053 D	  40030 D	  
Set	219:	4003f D	  40055 D	  40054 D	  40053 D	  
Set	220:	40055 D	  40054 D	  40053 D	  40030 D	  
Set	221:	40055 D	  40036 D	  40054 D	  40053 D	  
Set	222:	40055 D	  40036 D	  40054 D	  40053 D	  
Set	223:	40055 D	  40036 D	  40054 D	  40053 D	  
Set	224:	40039  	  40055 D	  40054 D	  40053 D	  
Set	225:	40055 D	  40054 D	  40053 D	  40052 D	  
Set	226:	40055 D	  40054 D	  40053 D	  40052 D	  
Set	227:	40055 D	  40036 D	  40053 D	  40052 D	  
Set	228:	4003e D	  40055 D	  40053 D	  40052 D	  
Set	229:	40055 D	  40053 D	  40052 D	  40054 D	  
Set	230:	40055 D	  40054 D	  40052 D	  40053 D	  
Set	231:	40055 D	  40052 D	  40054 D	  40053 D	  
Set	232:	40031 D	  40047  	  40055 D	  40052 D	  
Set	233:	40031 D	  40047  	  40054 D	  40055 D	  
Set	234:	40047  	  40031 D	  40055 D	  40054 D	  
Set	235:	40047  	  40031 D	  40055 D	  40054 D	  
Set	236:	40047  	  4003f D	  40055 D	  40054 D	  
Set	237:	40047  	  40055 D	  40039 D	  40054 D	  
Set	238:	40047  	  40055 D	  40054 D	  40053 D	  
Set	239:	40047  	  40035 D	  40055 D	  40054 D	  
Set	240:	40047  	  40055 D	  40033 D	  40054 D	  
Set	241:	40047  	  4003e D	  40055 D	  40054 D	  
Set	242:	40047  	  4001e  	  40055 D	  40054 D	  
Set	243:	40047  	  4001e  	  40054 D	  40055 D	  
Set	244:	40047  	  40031 D	  4001e  	  40054 D	  
Set	245:	40047  	  40031 D	  40054 D	  40055 D	  
Set	246:	40047  	  40055 D	  4001c  	  40052 D	  
Set	247:	40047  	  40055 D	  4001c  	  40052 D	  
Set	248:	40031 D	  40047  	  40035 D	  40055 D	  
Set	249:	40055 D	  4001c  	  40035 D	  40054 D	  
Set	250:	40035 D	  4001e  	  40055 D	  4001c  	  
Set	251:	4001e  	  40055 D	  4001c  	  40054 D	  
Set	252:	40034 D	  4001e  	  4001c  	  40055 D	  
Set	253:	4001c  	  40055 D	  40054 D	  40053 D	  
Set	254:	40032 D	  40034 D	  4001c  	  40055 D	  
Set	255:	40032 D	  40055 D	  40054 D	  40053 D	  
===== L1-SB contents =====
40001370 
===== L2 contents =====
Set	0:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	1:	2002b  	  20018 D	  2002a  	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	2:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	3:	2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	4:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027  	  
Set	5:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  211d7  	  
Set	6:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  211d7  	  
Set	7:	2001b  	  2002a D	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	8:	2001b  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  
Set	9:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	10:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	11:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	12:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	13:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	14:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	15:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	16:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	17:	2002b  	  20018 D	  2002a  	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	18:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	19:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	20:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	21:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	22:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	23:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	24:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	25:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	26:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	27:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	28:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	29:	2002a D	  2002b  	  2001d  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	30:	2002b  	  20018 D	  2001d  	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  
Set	31:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  2001d D	  
Set	32:	2001d  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  
Set	33:	2001d  	  2002b  	  20018 D	  2002a  	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	34:	2001c  	  2002a D	  2001d  	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	35:	2001c  	  2001d  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  
Set	36:	20024  	  2001c  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  
Set	37:	20024  	  2001c D	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  
Set	38:	2001c  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  2001d D	  
Set	39:	2001c  	  2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  2001d D	  
Set	40:	2002a D	  2001c  	  2002b  	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  
Set	41:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	42:	2002b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	43:	20018 D	  2002a  	  2001c  	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	44:	20018 D	  20022 D	  2002a  	  2001c  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	45:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024 D	  
Set	46:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20027 D	  20028 D	  20024  	  
Set	47:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	48:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	49:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	50:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	51:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	52:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	53:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	54:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  211d8  	  
Set	55:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	56:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	57:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20001 D	  
Set	58:	2001d  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	59:	2001d  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	60:	2001d  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20024 D	  
Set	61:	2001c  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	62:	2001c  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20024 D	  20028 D	  
Set	63:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	64:	2002a D	  2001d  	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	65:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	66:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	67:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	68:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	69:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20027 D	  20028  	  
Set	70:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20019  	  
Set	71:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  20001  	  
Set	72:	20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  211d8  	  
Set	73:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	74:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  20027 D	  
Set	75:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	76:	2001b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	77:	2001b  	  2002a D	  20022 D	  2001a D	  20018  	  2001f D	  20028 D	  20019 D	  
Set	78:	2001b  	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	79:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	80:	2001b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	81:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	82:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	83:	2001b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	84:	2001b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	85:	2001b  	  20018 D	  20022 D	  2002a  	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	86:	20018 D	  20022 D	  2002a  	  2001a D	  20028 D	  2001b D	  2001f  	  20027 D	  
Set	87:	20018 D	  20022 D	  2002a  	  2001a D	  20028 D	  20027 D	  2001b  	  210a6  	  
Set	88:	2002a D	  2001f  	  20018 D	  20022 D	  2001a D	  20028 D	  20027 D	  210a6  	  
Set	89:	2002a D	  2001f D	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  20027 D	  
Set	90:	20018 D	  2002a  	  2001f  	  2001a D	  2001b  	  20022 D	  20028 D	  20027 D	  
Set	91:	2002a D	  20022  	  20018 D	  2001a D	  2001b  	  20028 D	  20027 D	  20015  	  
Set	92:	20022  	  20018 D	  2001a D	  2002a  	  20028 D	  20027 D	  20015  	  3d81a  	  
Set	93:	2002a D	  2001b  	  20018 D	  2001a D	  20028 D	  20027 D	  3d81a  	  20001  	  
Set	94:	20022  	  2001b D	  20018 D	  2001a D	  2002a  	  20028 D	  20027 D	  2001f D	  
Set	95:	2002a D	  20022  	  20018 D	  2001a D	  20028 D	  20027 D	  2001f  	  2001b  	  
Set	96:	20022  	  20018 D	  2001f  	  2001a D	  2002a  	  20028 D	  20027 D	  6fc  	  
Set	97:	2001f D	  20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  
Set	98:	2001f D	  20015  	  2002a D	  20022  	  20018 D	  2001a D	  20019 D	  20028 D	  
Set	99:	20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  
Set	100:	20022  	  2001f D	  2002a  	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  
Set	101:	20022  	  2001f D	  20018 D	  2001a D	  2002a  	  20028 D	  20027 D	  20021  	  
Set	102:	20018 D	  2001f  	  2001a D	  2002a  	  20028 D	  20027 D	  20021  	  6fc  	  
Set	103:	20018 D	  2001f  	  2001a D	  2002a  	  20028 D	  20027 D	  6fc  	  0  	  
Set	104:	2001f  	  20018 D	  2002a  	  2001a D	  20028 D	  20027 D	  20026  	  6fc  	  
