===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  
Set	155:	20000  	  20028 D	  2002a D	  20029 D	  
Set	156:	20018 D	  20017 D	  20028 D	  2002a D	  
Set	157:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	158:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	159:	2001a D	  20028 D	  20021 D	  2002a D	  
Set	160:	20018  	  20017 D	  20028 D	  2002a D	  
Set	161:	20028 D	  20029 D	  2002a D	  20021 D	  
Set	162:	20018  	  20028 D	  20029 D	  2002a D	  
Set	163:	20018  	  20017 D	  20028 D	  2002a D	  
Set	164:	20017 D	  20018  	  20028 D	  2002a D	  
Set	165:	20017  	  2000f  	  20018  	  20028 D	  
Set	166:	20018  	  20028 D	  2002a D	  20029 D	  
Set	167:	2000f  	  20017 D	  20028 D	  20021 D	  
Set	168:	2000f  	  2001a  	  20028 D	  2002a D	  
Set	169:	2000f  	  2001a  	  20029 D	  20028 D	  
Set	170:	2000f  	  2001a  	  20028 D	  20029 D	  
Set	171:	20013  	  2001a  	  20028 D	  2002a D	  
Set	172:	2001a  	  20018 D	  20013  	  20028 D	  
Set	173:	20013  	  20028 D	  2002a D	  20029 D	  
Set	174:	20013  	  20028 D	  2002a D	  20029 D	  
Set	175:	20013  	  20028 D	  2002a D	  20029 D	  
Set	176:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	177:	20013  	  2000f  	  20028 D	  20029 D	  
Set	178:	20013  	  20028 D	  20029 D	  2002a D	  
Set	179:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	180:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	181:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	182:	20028 D	  2002a D	  20021 D	  20029 D	  
Set	183:	2001b D	  20017 D	  20028 D	  2002a D	  
Set	184:	20017 D	  2001b D	  20028 D	  2002a D	  
Set	185:	20017 D	  20029 D	  20028 D	  2002a D	  
Set	186:	2001a D	  20028 D	  20029 D	  2002a D	  
Set	187:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	188:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	189:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	190:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	191:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	192:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	193:	20028 D	  20029 D	  2002a D	  20018 D	  
Set	194:	20028 D	  20018 D	  20029 D	  2002a D	  
Set	195:	2001a D	  20028 D	  2002a D	  2001b D	  
Set	196:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	197:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	198:	2001a D	  20028 D	  2001b D	  2002a D	  
Set	199:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	200:	3d819 D	  20028 D	  2001f D	  2002a D	  
Set	201:	3d819 D	  20028 D	  2002a D	  20029 D	  
Set	202:	2001f D	  20028 D	  2002a D	  20017 D	  
Set	203:	20028 D	  3d819 D	  20029 D	  2002a D	  
Set	204:	20028 D	  20029 D	  2002a D	  20017 D	  
Set	205:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	206:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	207:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	208:	20028 D	  3d819 D	  2002a D	  2001f D	  
Set	209:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	210:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	211:	20028 D	  2001b D	  2001f D	  2002a D	  
Set	212:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	213:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	214:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	215:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	216:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	217:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	218:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	219:	20028 D	  20018 D	  2002a D	  20029 D	  
Set	220:	20028 D	  20018 D	  2001a D	  2002a D	  
Set	221:	20028 D	  20018 D	  2001b D	  2002a D	  
Set	222:	20018 D	  20028 D	  2001a D	  2001f D	  
Set	223:	20018 D	  20028 D	  2001a D	  2002a D	  
Set	224:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	225:	20028 D	  2002a D	  20029 D	  20019 D	  
Set	226:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	227:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	228:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	229:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	230:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	231:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	232:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	233:	2002a D	  20029 D	  20019 D	  2001f D	  
Set	234:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	235:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	236:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	237:	2001f D	  2002a D	  20029 D	  20017 D	  
Set	238:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	239:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	240:	2001c  	  2002a D	  20029 D	  20017 D	  
Set	241:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	242:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	243:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	244:	20018 D	  20023  	  2002a D	  20029 D	  
Set	245:	20023  	  20018 D	  2002a D	  20029 D	  
Set	246:	20023  	  2001f D	  2002a D	  2001c D	  
Set	247:	20023  	  2001a D	  2002a D	  20029 D	  
Set	248:	20023  	  2002a D	  20019 D	  20029 D	  
Set	249:	20023  	  2002a D	  20029 D	  20017 D	  
Set	250:	20023  	  20018 D	  2002a D	  20029 D	  
Set	251:	20023  	  2002a D	  20029 D	  20017 D	  
Set	252:	20018 D	  20023  	  2001a D	  2002a D	  
Set	253:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	254:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	255:	2002a D	  20029 D	  20017 D	  20021 D	  
===== L2 contents =====
Set	0:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  6fc  	  
Set	1:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	2:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  211d7  	  
Set	3:	2001b  	  20022 D	  2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  
Set	4:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	5:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	6:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  
Set	7:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	8:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	9:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	10:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	11:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20019 D	  
Set	12:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	13:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	14:	2002b  	  20022 D	  2001d  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  
Set	15:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  2001d D	  
Set	16:	2001d  	  20022 D	  2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  
Set	17:	2001c  	  20018 D	  2001d  	  20022 D	  2002b  	  2001a D	  2002a  	  2001f D	  
Set	18:	20024  	  20018 D	  2002b  	  20022 D	  2001c D	  2001a D	  2002a  	  2001f D	  
Set	19:	2001c  	  20022 D	  2002b  	  2001a D	  2002a  	  2001f D	  20018  	  2001d D	  
Set	20:	2002b  	  2001a D	  2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  
Set	21:	2002a  	  2001a D	  2001c  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	22:	2002a  	  2001f D	  20018  	  20027 D	  20022  	  20028 D	  2001a  	  20024 D	  
Set	23:	2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  2001a  	  20024  	  
Set	24:	2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  2001a  	  20027 D	  
Set	25:	2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  2001a  	  20027 D	  
Set	26:	2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  2001a  	  20027 D	  
Set	27:	2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  2001a  	  20027 D	  
Set	28:	2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  2001a  	  20001 D	  
Set	29:	2001d  	  2001a D	  2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  
Set	30:	2001c  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	31:	2001d  	  2001a D	  2002a  	  2001f D	  20018  	  20022  	  20024 D	  20028 D	  
Set	32:	2002a  	  2001f D	  20018  	  20028 D	  20022  	  20019 D	  2001a  	  20027 D	  
Set	33:	2002a  	  2001f D	  20018  	  20022  	  20028 D	  2001a  	  20027 D	  20024  	  
Set	34:	2002a  	  2001f D	  20018  	  20028 D	  20022  	  20019 D	  2001a  	  20027 D	  
Set	35:	2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  2001a  	  20001  	  
Set	36:	2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  2001a  	  20027 D	  
Set	37:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20019 D	  
Set	38:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	39:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	40:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  
Set	41:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20019 D	  20022  	  20028 D	  
Set	42:	2001b  	  2001a D	  2002a  	  2001f D	  20018  	  20028 D	  20022  	  20027 D	  
Set	43:	2002a  	  20028 D	  20018  	  2001b D	  20022  	  20027 D	  2001a  	  210a6  	  
Set	44:	2002a  	  2001a D	  2001f D	  20015 D	  20018  	  20022  	  20028 D	  20027 D	  
Set	45:	20022 D	  2001a D	  2002a  	  2001b  	  20028 D	  20018  	  20027 D	  20015  	  
Set	46:	2001b  	  20028 D	  2002a  	  20027 D	  20018  	  2001a  	  20001  	  3d81a  	  
Set	47:	20022  	  2001b D	  2002a  	  20028 D	  20018  	  20027 D	  2001a  	  2001f D	  
Set	48:	20022  	  2001a D	  2001f  	  20028 D	  2002a  	  20027 D	  20018  	  0  	  
Set	49:	20015  	  2001a D	  2001f  	  20019 D	  2002a  	  20028 D	  20018  	  20027 D	  
Set	50:	20022  	  2001a D	  2001f  	  20028 D	  2002a  	  20027 D	  20018  	  20021  	  
Set	51:	2001f  	  20028 D	  2002a  	  20027 D	  20018  	  2001a  	  6fc  	  0  	  
Set	52:	2001f  	  2002a  	  20028 D	  20018  	  20027 D	  2001a  	  210a6 D	  20026  	  
Set	53:	2002a  	  20028 D	  20018  	  2001a  	  20021 D	  20027 D	  20019  	  20026  	  
Set	54:	20022 D	  20028 D	  2002a  	  20027 D	  20018  	  2001a  	  20026  	  0  	  
Set	55:	2002a  	  20023 D	  20018  	  2001a  	  20028 D	  20027  	  20026  	  6fd  	  
Set	56:	2002a  	  20018  	  20028 D	  2001a  	  20027 D	  20026  	  20023  	  0  	  
Set	57:	2002a  	  20028 D	  20018  	  20019 D	  2001a  	  20027  	  6fc  	  0  	  
Set	58:	2002a  	  20027 D	  20018  	  2001a  	  20028  	  6fc  	  0  	  0  	  
Set	59:	2002a  	  20028 D	  20018  	  2001a  	  20027  	  6fc  	  0  	  0  	  
Set	60:	2002a  	  20019 D	  20018  	  20028 D	  2001a  	  20027 D	  210a6 D	  20015  	  
Set	61:	2001b  	  20028 D	  2002a  	  20027 D	  20018  	  2001a  	  0  	  0  	  
Set	62:	2001b  	  20028 D	  2002a  	  20018  	  20027 D	  2001a  	  20015  	  20001  	  
Set	63:	2002a  	  20028 D	  20018  	  20027 D	  2001a  	  2001d  	  0  	  0  	  
Set	64:	2001f  	  20028 D	  2002a  	  20015 D	  20018  	  20027 D	  2001a  	  2009b D	  
Set	65:	2002a  	  2001a D	  2001b  	  20028 D	  2001f  	  20027 D	  20018  	  20026  	  
Set	66:	2002a  	  20027 D	  20018  	  2001a  	  210a6 D	  20028  	  2009c D	  211d8  	  
Set	67:	2002a  	  20027 D	  20018  	  211d8 D	  2001a  	  20028  	  0  	  0  	  
Set	68:	2002a  	  20018  	  20028 D	  2001a  	  20027 D	  20021  	  20026  	  0  	  
Set	69:	2002a  	  20027 D	  20018  	  210a6 D	  2001a  	  20028  	  0  	  0  	  
Set	70:	2002a  	  20028 D	  20018  	  20027 D	  2001a  	  2001e  	  0  	  0  	  
Set	71:	2002a  	  20018  	  20028 D	  2001a  	  20027 D	  20026  	  2001e  	  6fc  	  
Set	72:	2002a  	  20027 D	  20018  	  2001a  	  20028  	  210a6  	  0  	  0  	  
Set	73:	2002a  	  20027 D	  20018  	  2009c D	  2001a  	  20028  	  210a6  	  0  	  
Set	74:	20021  	  2001e D	  2002a  	  20028 D	  20018  	  20019 D	  2001a  	  20027 D	  
Set	75:	20021  	  2001e D	  2002a  	  20028 D	  20018  	  20019 D	  2001a  	  20027 D	  
Set	76:	2002a  	  2001a D	  2001f  	  2001e D	  20018  	  20019 D	  20021  	  20028 D	  
Set	77:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  210a6  	  
Set	78:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  2001a  	  20027 D	  
Set	79:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  211d8 D	  
Set	80:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  211d8 D	  
Set	81:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  211d8 D	  
Set	82:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  211d8 D	  
Set	83:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  2001a  	  20027 D	  
Set	84:	2002a  	  2001e D	  20018  	  20027 D	  20021  	  20028 D	  2001a  	  0  	  
Set	85:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  0  	  
Set	86:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  0  	  
Set	87:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  211aa  	  
Set	88:	2002a  	  2001e D	  20018  	  20027 D	  20021  	  20028 D	  2001a  	  0  	  
Set	89:	2002a  	  2001a D	  2001b  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  
Set	90:	2002a  	  2001a D	  2001b  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  
Set	91:	2001b  	  2001a D	  2002a  	  2001e D	  20018  	  20019 D	  20021  	  20028 D	  
Set	92:	2001b  	  2001a D	  2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  
Set	93:	2001f  	  20021 D	  2001b  	  2001a D	  2002a  	  2001e D	  20018  	  20028 D	  
Set	94:	2002a  	  2001a D	  2001f  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  
Set	95:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  2001f D	  2001a  	  20027 D	  
Set	96:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  2001f D	  
Set	97:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  2001f D	  
Set	98:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  2001f D	  2001a  	  20027 D	  
Set	99:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  2001f D	  
Set	100:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  2001f D	  2001a  	  20027 D	  
Set	101:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  2001a  	  20027 D	  
Set	102:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  2001f D	  2001a  	  20027 D	  
Set	103:	2001f  	  2001a D	  2002a  	  2001e D	  20018  	  20027 D	  20021  	  3d81a D	  
Set	104:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  2001a  	  20027 D	  
Set	105:	2002a  	  2001e D	  20018  	  20026 D	  20021  	  20028 D	  2001a  	  20019 D	  
Set	106:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  20026 D	  
Set	107:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20027 D	  2001a  	  3d81a D	  
Set	108:	2002a  	  2001e D	  20018  	  20028 D	  20021  	  20019 D	  2001a  	  20027 D	  
